"uid","onShift","matchNumber","teamNumber","autonLeave","autonCoralL1","autonCoralL2","autonCoralL3","autonCoralL4","autonAlgaeProcessor","autonAlgaeNet","autonAlgaeRemoved","teleopCoralL1","teleopCoralL2","teleopCoralL3","teleopCoralL4","teleopAlgaeProcessor","teleopAlgaeNet","teleopAlgaeRemoved","climbState","didRobotDisable","additionalNotes"
1,"","1","7203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"playeddefenceandstoppedmoving"
2,"","2","5610",1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,""
3,"","3","9549",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,""
4,"","4","862",1,0,0,0,2,0,0,0,2,2,2,4,0,3,0,2,0,"good"
5,"","5","6094",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,""
6,"","6","6428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
7,"","7","5256",1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,""
8,"","8","5248",1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,""
9,"","9","6002",1,1,0,0,0,0,0,0,2,0,2,6,0,1,0,1,0,""
10,"","10","3546",1,0,0,0,0,0,0,0,2,1,2,4,0,1,0,0,0,""
11,"","11","85",1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,""
12,"","12","9742",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,""
13,"","13","3357",1,0,0,0,0,0,0,0,0,5,5,1,0,0,0,1,0,""
14,"","14","107",1,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,""
15,"","15","9248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
16,"","16","9549",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,"helpedotherrobotmove"
17,"","17","2054",1,0,0,0,2,1,0,0,0,2,2,5,1,0,2,1,0,""
18,"","18","4003",1,0,0,0,1,0,0,0,0,0,0,5,2,0,2,0,0,""
19,"","19","8397",1,1,0,0,0,0,0,0,3,1,0,0,0,0,1,3,0,""
20,"","20","9542",1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,""
21,"","21","5712",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,"armwasdisabled"
22,"","22","5248",1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,""
23,"","23","3458",1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,3,0,""
24,"","24","107",0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,""
25,"","25","6002",1,0,0,0,0,0,0,0,0,0,3,6,0,2,0,2,0,""
26,"","26","7210",1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,""
27,"","26","862",1,0,0,0,2,0,0,0,0,0,0,7,0,4,0,2,0,""
28,"","28","3357",1,1,0,0,1,0,0,0,4,5,0,2,0,0,0,2,0,""
29,"","29","6114",1,1,0,0,0,0,0,0,1,2,6,0,0,0,0,2,0,""
30,"","30","3546",1,0,0,0,1,0,0,0,1,4,4,3,0,0,0,0,0,""
31,"","31","74",1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,""
32,"","32","8397",1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,""
33,"","33","7210",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,""
34,"","33","3546",1,0,0,0,0,0,0,0,3,4,1,2,0,1,0,0,0,""
35,"","35","5084",1,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,""
36,"","36","9248",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
37,"","37","5470",1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,""
38,"","38","85",1,1,0,0,0,0,0,0,0,2,1,5,0,0,0,2,0,"movedquicklyanddecentclimber"
39,"","39","6128",1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,""
40,"","40","7203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
41,"","41","9207",1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,""
42,"","42","5927",1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,""
43,"","43","9206",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
44,"","44","6548",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"defense"
45,"","45","7210",1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,""
46,"","46","5610",1,0,0,0,1,0,0,0,0,3,2,0,0,0,0,3,0,""
47,"","47","2959",1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,""
48,"","48","9207",1,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,""
49,"","49","6428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,""
50,"","50","9742",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,""
51,"","51","9549",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,""
52,"","52","6548",1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,""
53,"","53","3357",1,0,0,0,1,0,0,0,0,0,0,11,0,0,1,1,0,""
54,"","54","74",1,0,0,0,0,0,0,0,0,1,3,3,0,0,0,2,0,""
55,"","55","6114",1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,2,0,""
56,"","56","2959",1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,""
57,"","57","5610",1,0,0,0,1,0,0,0,2,2,0,1,0,0,0,2,0,""
58,"","58","3458",1,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,""
59,"","59","9742",1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,""
60,"","60","7248",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,""
61,"","61","904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
62,"","62","6114",1,0,0,0,1,0,0,0,0,1,2,0,0,0,2,3,0,""
63,"","63","5248",1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,""
64,"","64","7911",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"playeddefense"
65,"","65","5470",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
66,"","65","5470",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
67,"","66","9207",1,0,0,0,0,0,0,0,1,2,4,0,0,0,1,0,0,""
68,"","67","5927",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,""
69,"","68","2767",1,0,0,0,3,0,0,0,2,0,1,4,1,0,1,3,0,""
70,"","69","5712",1,0,0,0,2,0,0,0,0,1,0,10,0,0,0,3,0,""
71,"","70","5470",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,""
