"uid","onShift","matchNumber","teamNumber","autonLeave","autonCoralL1","autonCoralL2","autonCoralL3","autonCoralL4","autonAlgaeProcessor","autonAlgaeNet","autonAlgaeRemoved","teleopCoralL1","teleopCoralL2","teleopCoralL3","teleopCoralL4","teleopAlgaeProcessor","teleopAlgaeNet","teleopAlgaeRemoved","climbState","didRobotDisable","additionalNotes"
1,"","1","5712",0,0,0,0,2,0,0,0,0,4,4,1,1,0,2,0,0,""
2,"","2","9206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
3,"","3","6114",1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,""
4,"","4","3546",0,0,0,0,2,0,0,0,2,2,5,5,0,0,1,1,0,"6rpmatch"
5,"","5","5084",0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,""
6,"","6","3458",0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,""
7,"","7","8397",0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,""
8,"","8","9206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
9,"","9","6114",0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,2,0,""
10,"","10","3458",0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,""
11,"","11","5256",0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,""
12,"","12","7248",1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,""
13,"","13","904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,""
14,"","14","6114",1,0,0,0,0,0,0,0,1,3,4,0,0,0,2,1,0,""
15,"","15","5248",1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,""
16,"","16","141",1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,3,0,""
17,"","17","9742",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"playeddefense"
18,"","18","3458",1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,""
19,"","19","862",1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,"playeddefensenearend,stuckcoral."
20,"","20","5084",1,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,""
21,"","21","9638",1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,""
22,"","22","904",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,""
23,"","23","141",1,0,0,0,0,0,0,0,0,0,3,3,0,0,2,3,0,""
24,"","24","2767",1,0,0,0,2,0,0,0,0,3,5,4,0,2,2,3,0,""
25,"","25","6428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"defenseentiregamewentwrongwayoutofauton"
26,"","26","5470",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"badintakegotcoralstuckinbot"
27,"","27","7203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,""
28,"","28","5712",1,0,0,0,1,0,0,0,0,0,5,5,0,0,0,3,0,"fastcycles"
29,"","29","9638",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,""
30,"","30","9721",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,""
31,"","31","5084",1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,"triedtogoforalastcoralatendgame"
32,"","32","7203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,""
33,"","33","6094",1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,"triedtoclimbwasunable"
34,"","34","2054",0,0,0,0,3,0,0,0,1,0,2,1,2,1,3,3,0,""
35,"","35","9721",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"gotpiecesstuckinbot"
36,"","36","9207",1,0,0,0,0,0,0,0,0,4,5,0,0,0,3,1,0,""
